사업구분명,ym,count
공산품안전인증,2015-01,100
공산품안전인증,2015-02,34
공산품안전인증,2015-03,30
공산품안전인증,2015-04,14
공산품안전인증,2015-05,27
공산품안전인증,2015-06,19
공산품안전인증,2015-07,15
공산품안전인증,2015-08,40
공산품안전인증,2015-09,54
공산품안전인증,2015-10,30
공산품안전인증,2015-11,30
공산품안전인증,2015-12,46
공산품안전인증,2016-01,31
공산품안전인증,2016-02,8
공산품안전인증,2016-03,22
공산품안전인증,2016-04,43
공산품안전인증,2016-05,37
공산품안전인증,2016-06,10
공산품안전인증,2016-07,19
공산품안전인증,2016-08,28
공산품안전인증,2016-09,24
공산품안전인증,2016-10,17
공산품안전인증,2016-11,24
공산품안전인증,2016-12,26
공산품안전인증,2017-01,13
공산품안전인증,2017-02,22
공산품안전인증,2017-03,14
공산품안전인증,2017-04,18
공산품안전인증,2017-05,11
공산품안전인증,2017-06,18
공산품안전인증,2017-07,37
공산품안전인증,2017-08,28
공산품안전인증,2017-09,22
공산품안전인증,2017-10,16
공산품안전인증,2017-11,20
공산품안전인증,2017-12,22
공산품안전인증,2018-01,12
공산품안전인증,2018-02,20
공산품안전인증,2018-03,20
공산품안전인증,2018-04,20
공산품안전인증,2018-05,33
공산품안전인증,2018-06,28
공산품안전인증,2018-07,10
공산품안전인증,2018-08,29
공산품안전인증,2018-09,15
공산품안전인증,2018-10,14
공산품안전인증,2018-11,22
공산품안전인증,2018-12,31
공산품안전인증,2019-01,37
공산품안전인증,2019-02,9
공산품안전인증,2019-03,71
공산품안전인증,2019-04,40
공산품안전인증,2019-05,7
공산품안전인증,2019-06,12
공산품안전인증,2019-07,6
공산품안전인증,2019-09,5
공산품안전인증,2019-10,9
공산품안전인증,2019-11,7
공산품안전인증,2019-12,7
공산품안전인증,2020-01,4
공산품안전인증,2020-04,5
공산품안전인증,2020-05,4
공산품안전인증,2020-06,5
공산품안전인증,2020-07,20
공산품안전인증,2020-08,3
공산품안전인증,2020-09,1
공산품안전인증,2020-10,7
공산품안전인증,2020-11,10
공산품안전인증,2020-12,18
공산품안전인증,2021-01,2
공산품안전인증,2021-03,7
공산품안전인증,2021-04,3
공산품안전인증,2021-05,10
공산품안전인증,2021-06,2
공산품안전인증,2021-07,16
공산품안전인증,2021-08,4
공산품안전인증,2021-09,2
공산품안전인증,2021-10,2
공산품안전인증,2021-11,4
공산품안전인증,2021-12,17
공산품안전인증,2022-01,6
공산품안전인증,2022-03,4
공산품안전인증,2022-05,22
공산품안전인증,2022-06,9
공산품안전인증,2022-07,16
공산품안전인증,2022-08,3
공산품안전인증,2022-09,29
공산품안전인증,2022-11,6
공산품안전인증,2022-12,19
공산품안전인증,2023-01,4
공산품안전인증,2023-02,9
기간산업,2012-05,25
기간산업,2012-06,504
기간산업,2012-07,512
기간산업,2012-08,516
기간산업,2012-09,493
기간산업,2012-10,458
기간산업,2012-11,672
기간산업,2012-12,572
기간산업,2013-01,667
기간산업,2013-02,541
기간산업,2013-03,635
기간산업,2013-04,593
기간산업,2013-05,739
기간산업,2013-06,533
기간산업,2013-07,683
기간산업,2013-08,605
기간산업,2013-09,491
기간산업,2013-10,648
기간산업,2013-11,543
기간산업,2013-12,551
기간산업,2014-01,618
기간산업,2014-02,493
기간산업,2014-03,946
기간산업,2014-04,780
기간산업,2014-05,562
기간산업,2014-06,657
기간산업,2014-07,669
기간산업,2014-08,734
기간산업,2014-09,445
기간산업,2014-10,592
기간산업,2014-11,613
기간산업,2014-12,614
기간산업,2015-01,474
기간산업,2015-02,460
기간산업,2015-03,698
기간산업,2015-04,719
기간산업,2015-05,543
기간산업,2015-06,777
기간산업,2015-07,768
기간산업,2015-08,560
기간산업,2015-09,601
기간산업,2015-10,668
기간산업,2015-11,591
기간산업,2015-12,539
기간산업,2016-01,489
기간산업,2016-02,394
기간산업,2016-03,486
기간산업,2016-04,460
기간산업,2016-05,608
기간산업,2016-06,803
기간산업,2016-07,649
기간산업,2016-08,707
기간산업,2016-09,565
기간산업,2016-10,596
기간산업,2016-11,724
기간산업,2016-12,710
기간산업,2017-01,492
기간산업,2017-02,562
기간산업,2017-03,671
기간산업,2017-04,709
기간산업,2017-05,502
기간산업,2017-06,593
기간산업,2017-07,636
기간산업,2017-08,737
기간산업,2017-09,855
기간산업,2017-10,607
기간산업,2017-11,1323
기간산업,2017-12,837
기간산업,2018-01,533
기간산업,2018-02,428
기간산업,2018-03,558
기간산업,2018-04,633
기간산업,2018-05,613
기간산업,2018-06,648
기간산업,2018-07,554
기간산업,2018-08,609
기간산업,2018-09,638
기간산업,2018-10,662
기간산업,2018-11,1033
기간산업,2018-12,866
기간산업,2019-01,662
기간산업,2019-02,466
기간산업,2019-03,603
기간산업,2019-04,752
기간산업,2019-05,672
기간산업,2019-06,666
기간산업,2019-07,860
기간산업,2019-08,607
기간산업,2019-09,570
기간산업,2019-10,586
기간산업,2019-11,952
기간산업,2019-12,748
기간산업,2020-01,502
기간산업,2020-02,503
기간산업,2020-03,610
기간산업,2020-04,667
기간산업,2020-05,484
기간산업,2020-06,717
기간산업,2020-07,690
기간산업,2020-08,611
기간산업,2020-09,539
기간산업,2020-10,594
기간산업,2020-11,897
기간산업,2020-12,923
기간산업,2021-01,517
기간산업,2021-02,517
기간산업,2021-03,686
기간산업,2021-04,569
기간산업,2021-05,582
기간산업,2021-06,609
기간산업,2021-07,484
기간산업,2021-08,484
기간산업,2021-09,470
기간산업,2021-10,636
기간산업,2021-11,1135
기간산업,2021-12,796
기간산업,2022-01,618
기간산업,2022-02,480
기간산업,2022-03,472
기간산업,2022-04,479
기간산업,2022-05,579
기간산업,2022-06,449
기간산업,2022-07,550
기간산업,2022-08,543
기간산업,2022-09,553
기간산업,2022-10,736
기간산업,2022-11,1188
기간산업,2022-12,840
기간산업,2023-01,518
기간산업,2023-02,623
기업지원,2012-06,41
기업지원,2012-07,215
기업지원,2012-08,319
기업지원,2012-09,1017
기업지원,2012-10,567
기업지원,2012-11,694
기업지원,2012-12,568
기업지원,2013-01,352
기업지원,2013-02,495
기업지원,2013-03,359
기업지원,2013-04,530
기업지원,2013-05,913
기업지원,2013-06,764
기업지원,2013-07,304
기업지원,2013-08,430
기업지원,2013-09,579
기업지원,2013-10,686
기업지원,2013-11,529
기업지원,2013-12,580
기업지원,2014-01,249
기업지원,2014-02,352
기업지원,2014-03,484
기업지원,2014-04,415
기업지원,2014-05,338
기업지원,2014-06,412
기업지원,2014-07,597
기업지원,2014-08,316
기업지원,2014-09,551
기업지원,2014-10,481
기업지원,2014-11,246
기업지원,2014-12,752
기업지원,2015-01,373
기업지원,2015-02,513
기업지원,2015-03,429
기업지원,2015-04,539
기업지원,2015-05,275
기업지원,2015-06,341
기업지원,2015-07,409
기업지원,2015-08,442
기업지원,2015-09,413
기업지원,2015-10,494
기업지원,2015-11,725
기업지원,2015-12,700
기업지원,2016-01,273
기업지원,2016-02,239
기업지원,2016-03,336
기업지원,2016-04,517
기업지원,2016-05,368
기업지원,2016-06,456
기업지원,2016-07,407
기업지원,2016-08,386
기업지원,2016-09,893
기업지원,2016-10,505
기업지원,2016-11,677
기업지원,2016-12,614
기업지원,2017-01,287
기업지원,2017-02,413
기업지원,2017-03,547
기업지원,2017-04,458
기업지원,2017-05,377
기업지원,2017-06,459
기업지원,2017-07,1256
기업지원,2017-08,331
기업지원,2017-09,400
기업지원,2017-10,381
기업지원,2017-11,491
기업지원,2017-12,670
기업지원,2018-01,346
기업지원,2018-02,316
기업지원,2018-03,1028
기업지원,2018-04,407
기업지원,2018-05,437
기업지원,2018-06,559
기업지원,2018-07,274
기업지원,2018-08,392
기업지원,2018-09,282
기업지원,2018-10,535
기업지원,2018-11,250
기업지원,2018-12,550
기업지원,2019-01,299
기업지원,2019-02,202
기업지원,2019-03,364
기업지원,2019-04,912
기업지원,2019-05,401
기업지원,2019-06,366
기업지원,2019-07,411
기업지원,2019-08,372
기업지원,2019-09,360
기업지원,2019-10,616
기업지원,2019-11,358
기업지원,2019-12,529
기업지원,2020-01,252
기업지원,2020-02,276
기업지원,2020-03,503
기업지원,2020-04,541
기업지원,2020-05,359
기업지원,2020-06,556
기업지원,2020-07,518
기업지원,2020-08,318
기업지원,2020-09,363
기업지원,2020-10,530
기업지원,2020-11,404
기업지원,2020-12,421
기업지원,2021-01,327
기업지원,2021-02,240
기업지원,2021-03,528
기업지원,2021-04,430
기업지원,2021-05,344
기업지원,2021-06,478
기업지원,2021-07,311
기업지원,2021-08,279
기업지원,2021-09,261
기업지원,2021-10,319
기업지원,2021-11,390
기업지원,2021-12,439
기업지원,2022-01,251
기업지원,2022-02,188
기업지원,2022-03,492
기업지원,2022-04,323
기업지원,2022-05,305
기업지원,2022-06,316
기업지원,2022-07,373
기업지원,2022-08,404
기업지원,2022-09,352
기업지원,2022-10,383
기업지원,2022-11,473
기업지원,2022-12,501
기업지원,2023-01,271
기업지원,2023-02,369
방폭인증,2012-05,1
방폭인증,2012-06,41
방폭인증,2012-07,37
방폭인증,2012-08,120
방폭인증,2012-09,46
방폭인증,2012-10,29
방폭인증,2012-11,120
방폭인증,2012-12,27
방폭인증,2013-01,38
방폭인증,2013-02,54
방폭인증,2013-03,38
방폭인증,2013-04,58
방폭인증,2013-05,8
방폭인증,2013-06,23
방폭인증,2013-07,450
방폭인증,2013-08,232
방폭인증,2013-09,67
방폭인증,2013-10,76
방폭인증,2013-11,41
방폭인증,2013-12,168
방폭인증,2014-01,15
방폭인증,2014-02,13
방폭인증,2014-03,632
방폭인증,2014-04,33
방폭인증,2014-05,28
방폭인증,2014-06,59
방폭인증,2014-07,28
방폭인증,2014-08,450
방폭인증,2014-09,332
방폭인증,2014-10,118
방폭인증,2014-11,172
방폭인증,2014-12,184
방폭인증,2015-01,128
방폭인증,2015-02,30
방폭인증,2015-03,3
방폭인증,2015-04,44
방폭인증,2015-05,257
방폭인증,2015-06,90
방폭인증,2015-07,175
방폭인증,2015-08,80
방폭인증,2015-09,50
방폭인증,2015-10,111
방폭인증,2015-11,160
방폭인증,2015-12,72
방폭인증,2016-01,228
방폭인증,2016-02,69
방폭인증,2016-03,141
방폭인증,2016-04,93
방폭인증,2016-05,140
방폭인증,2016-06,78
방폭인증,2016-07,49
방폭인증,2016-08,66
방폭인증,2016-09,85
방폭인증,2016-10,186
방폭인증,2016-11,246
방폭인증,2016-12,486
방폭인증,2017-01,111
방폭인증,2017-02,190
방폭인증,2017-03,235
방폭인증,2017-04,110
방폭인증,2017-05,166
방폭인증,2017-06,66
방폭인증,2017-07,185
방폭인증,2017-08,223
방폭인증,2017-09,93
방폭인증,2017-10,123
방폭인증,2017-11,213
방폭인증,2017-12,225
방폭인증,2018-01,181
방폭인증,2018-02,119
방폭인증,2018-03,184
방폭인증,2018-04,249
방폭인증,2018-05,204
방폭인증,2018-06,138
방폭인증,2018-07,209
