사업구분명,단위사업중분류명,m,count
기간산업,승강기안전일반시험,1,22
기간산업,승강기안전일반시험,2,5
기간산업,승강기안전일반시험,3,20
기간산업,승강기안전일반시험,4,14
기간산업,승강기안전일반시험,5,13
기간산업,승강기안전일반시험,6,24
기간산업,승강기안전일반시험,7,24
기간산업,승강기안전일반시험,8,20
기간산업,승강기안전일반시험,9,18
기간산업,승강기안전일반시험,10,19
기간산업,승강기안전일반시험,11,31
기간산업,승강기안전일반시험,12,10
기간산업,시스템요소,1,116
기간산업,시스템요소,2,107
기간산업,시스템요소,3,125
기간산업,시스템요소,4,76
기간산업,시스템요소,5,102
기간산업,시스템요소,6,110
기간산업,시스템요소,7,83
기간산업,시스템요소,8,89
기간산업,시스템요소,9,102
기간산업,시스템요소,10,145
기간산업,시스템요소,11,406
기간산업,시스템요소,12,161
기간산업,신뢰성평가,1,646
기간산업,신뢰성평가,2,558
기간산업,신뢰성평가,3,675
기간산업,신뢰성평가,4,642
기간산업,신뢰성평가,5,600
기간산업,신뢰성평가,6,801
기간산업,신뢰성평가,7,703
기간산업,신뢰성평가,8,640
기간산업,신뢰성평가,9,679
기간산업,신뢰성평가,10,646
기간산업,신뢰성평가,11,1055
기간산업,신뢰성평가,12,818
기간산업,에너지기술,1,120
기간산업,에너지기술,2,124
기간산업,에너지기술,3,82
기간산업,에너지기술,4,97
기간산업,에너지기술,5,130
기간산업,에너지기술,6,128
기간산업,에너지기술,7,129
기간산업,에너지기술,8,116
기간산업,에너지기술,9,124
기간산업,에너지기술,10,70
기간산업,에너지기술,11,155
기간산업,에너지기술,12,154
기간산업,에너지효율시험,1,848
기간산업,에너지효율시험,2,851
기간산업,에너지효율시험,3,1137
기간산업,에너지효율시험,4,899
기간산업,에너지효율시험,5,750
기간산업,에너지효율시험,6,1013
기간산업,에너지효율시험,7,881
기간산업,에너지효율시험,8,791
기간산업,에너지효율시험,9,1058
기간산업,에너지효율시험,10,1052
기간산업,에너지효율시험,11,1096
기간산업,에너지효율시험,12,1025
기간산업,외국인증시험,2,6
기간산업,원자력 및 제어설비평가,1,8
기간산업,원자력 및 제어설비평가,2,8
기간산업,원자력 및 제어설비평가,3,5
기간산업,원자력 및 제어설비평가,4,22
기간산업,원자력 및 제어설비평가,5,14
기간산업,원자력 및 제어설비평가,6,10
기간산업,원자력 및 제어설비평가,7,9
기간산업,원자력 및 제어설비평가,8,13
기간산업,원자력 및 제어설비평가,9,6
기간산업,원자력 및 제어설비평가,10,21
기간산업,원자력 및 제어설비평가,11,38
기간산업,원자력 및 제어설비평가,12,17
기간산업,재료시험,1,2796
기간산업,재료시험,2,2342
기간산업,재료시험,3,2755
기간산업,재료시험,4,2819
기간산업,재료시험,5,2531
기간산업,재료시험,6,2974
기간산업,재료시험,7,3213
기간산업,재료시험,8,3117
기간산업,재료시험,9,2715
기간산업,재료시험,10,3079
기간산업,재료시험,11,4666
기간산업,재료시험,12,3349
기간산업,전자파일반시험,6,1
기간산업,전자파일반시험,8,1
기간산업,제어설비평가,1,1
기간산업,제어설비평가,2,1
기간산업,제어설비평가,3,1
기간산업,제어설비평가,4,1
기간산업,제어설비평가,5,2
기간산업,제어설비평가,6,1
기간산업,제어설비평가,8,7
기간산업,제어설비평가,9,13
기간산업,제어설비평가,10,5
기간산업,제어설비평가,11,10
기간산업,제어설비평가,12,3
기간산업,철도항공,1,69
기간산업,철도항공,2,120
기간산업,철도항공,3,60
기간산업,철도항공,4,99
기간산업,철도항공,5,69
기간산업,철도항공,6,71
기간산업,철도항공,7,75
기간산업,철도항공,8,32
기간산업,철도항공,9,40
기간산업,철도항공,10,84
기간산업,철도항공,11,92
기간산업,철도항공,12,135
기간산업,표준물질,3,1
기간산업,표준물질,4,3
기간산업,표준물질,6,3
기간산업,표준물질,10,1
기간산업,해외인증획득 지원,1,2
기간산업,해외인증획득 지원,3,10
기간산업,해외인증획득 지원,5,4
기간산업,해외인증획득 지원,12,1
기업지원,IECEE-CB인증시험,9,1
기업지원,IECQ-HSPM인증,1,18
기업지원,IECQ-HSPM인증,2,3
기업지원,IECQ-HSPM인증,3,3
기업지원,IECQ-HSPM인증,4,3
기업지원,IECQ-HSPM인증,6,10
기업지원,IECQ-HSPM인증,7,6
기업지원,IECQ-HSPM인증,8,1
기업지원,IECQ-HSPM인증,9,7
기업지원,IECQ-HSPM인증,10,13
기업지원,IECQ-HSPM인증,11,3
기업지원,IECQ-HSPM인증,12,3
기업지원,ISO 인증,1,27
기업지원,ISO 인증,2,18
기업지원,ISO 인증,3,43
기업지원,ISO 인증,4,59
기업지원,ISO 인증,5,45
기업지원,ISO 인증,6,32
기업지원,ISO 인증,7,75
기업지원,ISO 인증,8,50
기업지원,ISO 인증,9,23
기업지원,ISO 인증,10,24
기업지원,ISO 인증,11,54
기업지원,ISO 인증,12,52
기업지원,KAS인증시험,1,1
기업지원,KAS인증시험,7,5
기업지원,KTL마크인증,2,2
기업지원,KTL마크인증,3,1
기업지원,KTL마크인증,4,1
기업지원,KTL마크인증,6,1
기업지원,KTL마크인증,9,1
기업지원,KTL마크인증,10,2
기업지원,KTL마크인증,11,2
기업지원,KTL마크인증,12,5
기업지원,KTL시험,2,1
기업지원,K마크 시험,1,682
기업지원,K마크 시험,2,752
기업지원,K마크 시험,3,1703
기업지원,K마크 시험,4,1381
기업지원,K마크 시험,5,1307
기업지원,K마크 시험,6,1461
기업지원,K마크 시험,7,1949
기업지원,K마크 시험,8,957
기업지원,K마크 시험,9,1703
기업지원,K마크 시험,10,1832
기업지원,K마크 시험,11,1342
기업지원,K마크 시험,12,1669
기업지원,SW시험인증,7,1
기업지원,SW시험인증,9,1
기업지원,공장심사,1,1
기업지원,공장심사,2,19
기업지원,공장심사,3,20
기업지원,공장심사,4,9
기업지원,공장심사,5,41
기업지원,공장심사,6,12
기업지원,공장심사,7,23
기업지원,공장심사,8,28
기업지원,공장심사,9,42
기업지원,공장심사,10,15
기업지원,공장심사,11,28
기업지원,공장심사,12,79
기업지원,기술교육,1,160
기업지원,기술교육,2,88
기업지원,기술교육,3,167
기업지원,기술교육,4,180
기업지원,기술교육,5,253
기업지원,기술교육,6,126
